14;0.7;3.12
14;0.5;3.42
14;0.3;3.78
14;0.1;---
14;0;---
14;-0.1;---
14;-0.3;---
14;-0.5;---
16;0.7;3.15
16;0.5;3.4
16;0.3;3.72
16;0.1;---
16;0;---
16;-0.1;---
16;-0.3;---
16;-0.5;---
17;0.7;3.16
17;0.5;3.4
17;0.3;3.67
17;0.1;4.03
17;0;4.26
17;-0.1;---
17;-0.3;---
17;-0.5;---
18;0.7;3.17
18;0.5;3.39
18;0.3;3.64
18;0.1;3.97
18;0;4.2
18;-0.1;---
18;-0.3;---
18;-0.5;---
19;0.7;3.18
19;0.5;3.39
19;0.3;3.62
19;0.1;3.92
19;0;4.11
19;-0.1;4.32
19;-0.3;---
19;-0.5;---
20;0.7;3.19
20;0.5;3.39
20;0.3;3.61
20;0.1;3.89
20;0;4.08
20;-0.1;4.28
20;-0.3;---
20;-0.5;---
21;0.7;3.2
21;0.5;3.39
21;0.3;3.6
21;0.1;3.85
21;0;4.01
21;-0.1;4.22
21;-0.3;---
21;-0.5;---
22;0.7;3.21
22;0.5;3.39
22;0.3;3.59
22;0.1;3.82
22;0;4
22;-0.1;4.2
22;-0.3;---
22;-0.5;---
24;0.7;3.23
24;0.5;3.39
24;0.3;3.58
24;0.1;3.79
24;0;3.92
24;-0.1;4.1
24;-0.3;---
24;-0.5;---
25;0.7;3.24
25;0.5;3.39
25;0.3;3.57
25;0.1;3.77
25;0;3.9
25;-0.1;4.05
25;-0.3;4.28
25;-0.5;---
28;0.7;3.27
28;0.5;3.4
28;0.3;3.56
28;0.1;3.72
28;0;3.82
28;-0.1;3.95
28;-0.3;4.22
28;-0.5;---
30;0.7;3.28
30;0.5;3.4
30;0.3;3.54
30;0.1;3.7
30;0;3.8
30;-0.1;3.9
30;-0.3;4.14
30;-0.5;---
32;0.7;3.29
32;0.5;3.41
32;0.3;3.54
32;0.1;3.69
32;0;3.78
32;-0.1;3.87
32;-0.3;4.08
32;-0.5;4.45
37;0.7;3.32
37;0.5;3.42
37;0.3;3.53
37;0.1;3.64
37;0;3.71
37;-0.1;3.8
37;-0.3;3.96
37;-0.5;4.2
40;0.7;3.33
40;0.5;3.42
40;0.3;3.53
40;0.1;3.63
40;0;3.7
40;-0.1;3.77
40;-0.3;3.92
40;-0.5;4.13
45;0.7;3.36
45;0.5;3.43
45;0.3;3.52
45;0.1;3.62
45;0;3.68
45;-0.1;3.72
45;-0.3;3.86
45;-0.5;4.02
50;0.7;3.33
50;0.5;3.44
50;0.3;3.52
50;0.1;3.6
50;0;3.65
50;-0.1;3.7
50;-0.3;3.81
50;-0.5;3.96
60;0.7;3.41
60;0.5;3.47
60;0.3;3.53
60;0.1;3.59
60;0;3.62
60;-0.1;3.67
60;-0.3;3.74
60;-0.5;3.84
80;0.7;3.45
80;0.5;3.5
80;0.3;3.54
80;0.1;3.58
80;0;3.61
80;-0.1;3.62
80;-0.3;3.68
80;-0.5;3.73
100;0.7;3.49
100;0.5;3.52
100;0.3;3.55
100;0.1;3.58
100;0;3.6
100;-0.1;3.61
100;-0.3;3.65
100;-0.5;3.68
150;0.7;-
150;0.5;-
150;0.3;-
150;0.1;-
150;0;3.6
150;-0.1;3.63
150;-0.3;3.68
150;-0.5;3.68
>150;0.7;-
>150;0.5;-
>150;0.3;-
>150;0.1;-
>150;0;3.63
>150;-0.1;-
>150;-0.3;-
>150;-0.5;-
